1:{'megfigyelt': 'abor', 'radioamator sorszama': '13', 'azonosito': 1013, 'nap': 1, 'uzenet szovege': '#abor# #e#tun###agy#szel#2# #o##h#d#g ##rkasn#o#oka# #a#tunk e####a#akn##$#$#$##$$$$$$####'}
2:{'megfigyelt': 'tatertunk', 'radioamator sorszama': '19', 'azonosito': 1019, 'nap': 1, 'uzenet szovege': 'ta###t##ertunk ##gy #zel#####ok hide##f#r##sn#omo#at ##ttu## e#y patak#al$#$$$$$###$$$$$$$'}
3:{'megfigyelt': '0/', 'radioamator sorszama': '19', 'azonosito': 6019, 'nap': 6, 'uzenet szovege': '0/# a #a#akon##uli ##mb## ##l#kok jatszo#####del ####l$$$#$$$$$#$#$#$#$$###$##$$##$$$$#$$$'}
4:{'megfigyelt': 'a', 'radioamator sorszama': '17', 'azonosito': 5017, 'nap': 5, 'uzenet szovege': 'a pat#k#a###ar##sok #em#j#l#nt##ztek nyomok volt#k$$$$#$$$#$$$#$#$##$$$$###$####$$#$$$$#$#'}
5:{'megfigyelt': 'ezakrol', 'radioamator sorszama': '16', 'azonosito': 10016, 'nap': 10, 'uzenet szovege': 'e#zakrol gy#ko#i farkasuvol#es#ha#lat###k#$$$$$$#$$$$$$#$##$#$#$$$##$#$##$##$$$$$$##$#$##$'}
6:{'megfigyelt': '1/3sottes', 'radioamator sorszama': '5', 'azonosito': 7005, 'nap': 7, 'uzenet szovege': '1/3#sot#te##s ##ott##u#tek#fe# a# er#o#szelen$$##$$#$$#$$$#$$$####$$##$$#$$#$###$$$$$$$$#$'}
7:{'megfigyelt': '0/', 'radioamator sorszama': '15', 'azonosito': 6015, 'nap': 6, 'uzenet szovege': '0/# a pata#on tu#i#d#mbo# #olyko# jats##tt###### koru###$$$$$##$$#$$$$#$$#$###$$$#$$$####$'}
8:{'megfigyelt': '3/0stedselotegy', 'radioamator sorszama': '3', 'azonosito': 11003, 'nap': 11, 'uzenet szovege': '#3/0#s#te##d#s#elot##egy ege## fal####al#dt ve### a ##tak#ment#####$#$$$$##$$$$###$$$###$#'}
9:{'megfigyelt': 'verofeyes', 'radioamator sorszama': '12', 'azonosito': 8012, 'nap': 8, 'uzenet szovege': 'verofe#yes n##fe#y#enyhu## i#o$$##$$##$$$#$#$$$$$$$$$##$##$##$$$#$$$$$#$#$#$$$$$###$$$$#$#'}
10:{'megfigyelt': 'taotvtuk', 'radioamator sorszama': '9', 'azonosito': 1009, 'nap': 1, 'uzenet szovege': 'ta#o#t#v##tu#k nag# #zel#20 fok#hi##g fa#k#snyo#okat la#tun##e#y#pat##na#$$###$$#$#$$$$$$$'}
11:{'megfigyelt': 'eszakro', 'radioamator sorszama': '10', 'azonosito': 10010, 'nap': 10, 'uzenet szovege': 'eszakro# #y#ko## #arkasu#olte# #allat#z##$###$$$$$$$$$$#$$##$$#$##$$$$#$$$$$#$$$#######$#$'}
